id,description,dataset,category,subcategory,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,themes
analyst_revision_rank_derivative,Change in ranking for analyst revisions and momentum compared to previous period.,"{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,87,108,[]
cashflow_efficiency_rank_derivative,Change in ranking for cash flow generation and profitability compared to previous period.,"{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,44,53,[]
composite_factor_score_derivative,Change in overall composite factor score from the prior period.,"{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,39,53,[]
earnings_certainty_rank_derivative,Change in ranking for earnings sustainability and certainty compared to previous period.,"{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,45,63,[]
fscore_bfl_growth,The purpose of this metric is to qualify the expected MT growth potential of the stock.,"{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,MATRIX,1.0,0.3807,9,13,[]
fscore_bfl_momentum,The purpose of this metric is to identify stocks which are currently undergoing either up or downward analyst revisions.,"{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,MATRIX,1.0,0.3774,11,19,[]
fscore_bfl_profitability,The purpose of this metric is to rank stock based on their ability to generate cash flows.,"{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,MATRIX,1.0,0.3797,3,6,[]
fscore_bfl_quality,The purpose of this metric is to measure both the sustainability and certainty of earnings.,"{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,MATRIX,1.0,0.3828,14,15,[]
fscore_bfl_surface,"The static score. An index between 0 & 100 is applied for each stock and each composite factor - The first ranking is a pentagon surface-based score. The larger the surface, the higher the rank.","{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,MATRIX,1.0,0.374,6,6,[]
fscore_bfl_surface_accel,"The derivative score. In a second step, we calculate the derivative of this score (ie: Is the surface of the pentagon increasing or decreasing from the previous month?).","{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,MATRIX,1.0,0.3726,22,45,[]
fscore_bfl_total,The final score M-Score is a weighted average of both the Pentagon surface score and the Pentagon acceleration score.,"{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,MATRIX,1.0,0.3726,4,4,[]
fscore_bfl_value,The purpose of this metric is to see if the stock is under or overpriced given several well known valuation standards.,"{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,MATRIX,1.0,0.3808,17,20,[]
fscore_growth,The purpose of this metric is to qualify the expected MT growth potential of the stock.,"{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,MATRIX,1.0,0.2987,131,259,[]
fscore_momentum,The purpose of this metric is to identify stocks which are currently undergoing either up or downward analyst revisions.,"{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,MATRIX,1.0,0.2973,232,413,[]
fscore_profitability,The purpose of this metric is to rank stock based on their ability to generate cash flows.,"{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,MATRIX,1.0,0.2981,183,307,[]
fscore_quality,The purpose of this metric is to measure both the sustainability and certainty of earnings.,"{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,MATRIX,1.0,0.2993,736,1447,[]
fscore_surface,"The static score. An index between 0 & 100 is applied for each stock and each composite factor - The first ranking is a pentagon surface-based score. The larger the surface, the higher the rank.","{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,MATRIX,1.0,0.2957,160,423,[]
fscore_surface_accel,"The derivative score. In a second step, we calculate the derivative of this score (ie: Is the surface of the pentagon increasing or decreasing from the previous month?).","{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,MATRIX,1.0,0.2946,86,204,[]
fscore_total,The final score M-Score is a weighted average of both the Pentagon surface score and the Pentagon acceleration score.,"{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,MATRIX,1.0,0.2946,137,320,[]
fscore_value,The purpose of this metric is to see if the stock is under or overpriced given several well known valuation standards.,"{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,MATRIX,1.0,0.2981,213,362,[]
growth_potential_rank_derivative,Change in ranking for medium-term growth potential compared to previous period.,"{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,35,38,[]
multi_factor_acceleration_score_derivative,Change in the acceleration of multi-factor score compared to previous period.,"{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,46,54,[]
multi_factor_static_score_derivative,Change in static multi-factor score compared to previous period.,"{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,29,38,[]
relative_valuation_rank_derivative,Change in ranking for valuation metrics compared to previous period.,"{'id': 'model16', 'name': 'Fundamental Scores'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,MATRIX,1.0,1.0,29,39,[]
